File.......:  geis_10ma_kit1_II_5mol_5cm2_200ma - SEP,15.2021

System.....:  
Potential..:  -0.300V
Current....:  -30.665uA
Temperature:  -2.9 +-0.0 C
Time.......:  13:03:33 - 13:07:11
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.5645e-02       -1.3270e-02        0.999           0.0
   2      1.3787e+03       4.3623e-02       -1.1917e-02        1.000           1.8
   3      1.8344e+03       4.2153e-02       -1.0815e-02        0.999           2.8
   4      2.4408e+03       3.9571e-02       -9.4619e-03        0.998           3.9
   5      3.2477e+03       3.7737e-02       -8.4528e-03        0.999           4.9
   6      4.3213e+03       3.6052e-02       -7.6582e-03        0.997           6.0
   7      5.7497e+03       3.4129e-02       -6.0721e-03        0.998           7.1
   8      7.6503e+03       3.3409e-02       -2.7030e-03        0.997           8.1
   9      1.0179e+04       3.3846e-02       -7.9144e-04        0.995           9.2
  10      1.3544e+04       3.4573e-02        1.9130e-04        0.997          10.4
  11      1.8021e+04       3.4793e-02        6.5851e-04        0.951          11.4
  12      2.3979e+04       3.6054e-02        9.7033e-04        0.991          12.4
  13      3.1905e+04       3.5393e-02        1.7598e-03        0.980          13.6
  14      4.2452e+04       3.4677e-02        4.1073e-03        0.969          15.0
  15      5.6484e+04       3.3331e-02        4.5918e-03        0.953          16.2
  16      7.5156e+04       3.2227e-02        6.0374e-03        0.932          17.5
  17      1.0000e+05       3.1790e-02        9.2380e-03        0.951          18.7
  18      7.5156e+04       3.2753e-02        4.3575e-03        0.849          20.0
  19      5.6484e+04       3.5365e-02        3.8751e-03        0.983          21.1
  20      4.2452e+04       3.4063e-02        5.1315e-03        0.965          22.4
  21      3.1905e+04       3.3398e-02        2.6409e-03        0.967          23.8
  22      2.3979e+04       3.6205e-02        2.5092e-04        0.993          25.1
  23      1.8021e+04       3.4696e-02        7.3420e-04        0.914          26.2
  24      1.3544e+04       3.4422e-02       -4.0697e-05        0.998          27.2
  25      1.0179e+04       3.3656e-02       -9.6454e-04        0.994          28.2
  26      7.6503e+03       3.3357e-02       -2.7231e-03        0.996          29.3
  27      5.7497e+03       3.3759e-02       -5.4565e-03        0.998          30.3
  28      4.3213e+03       3.5861e-02       -7.3614e-03        0.999          31.4
  29      3.2477e+03       3.7944e-02       -8.6456e-03        0.999          32.4
  30      2.4408e+03       3.9571e-02       -9.4109e-03        0.999          33.4
  31      1.8344e+03       4.2296e-02       -1.0518e-02        0.999          34.4
  32      1.3787e+03       4.3631e-02       -1.1954e-02        0.999          35.4
  33      1.0362e+03       4.5558e-02       -1.3453e-02        0.999          36.4
  34      7.7875e+02       4.7633e-02       -1.5145e-02        0.999          37.4
  35      5.8528e+02       5.0124e-02       -1.6835e-02        0.999          38.4
  36      4.3987e+02       5.2817e-02       -1.9353e-02        0.999          40.3
  37      3.3059e+02       5.5924e-02       -2.1811e-02        0.999          42.3
  38      2.4846e+02       5.9998e-02       -2.3726e-02        1.000          43.9
  39      1.8673e+02       6.4405e-02       -2.7758e-02        0.999          45.5
  40      1.4034e+02       6.9530e-02       -3.1136e-02        0.999          47.1
  41      1.0548e+02       7.5580e-02       -3.4453e-02        0.999          49.1
  42      7.9271e+01       8.2918e-02       -3.8031e-02        0.999          51.1
  43      5.9520e+01       9.0865e-02       -4.0284e-02        1.000          53.0
  44      4.4261e+01       9.9909e-02       -4.1870e-02        0.999          54.9
  45      3.2576e+01       1.0803e-01       -4.2629e-02        0.999          56.8
  46      2.3713e+01       1.1560e-01       -4.3092e-02        1.000          59.0
  47      1.7058e+01       1.2146e-01       -4.5160e-02        0.999          61.3
  48      1.2117e+01       1.2727e-01       -5.0400e-02        0.999          64.0
  49      8.4915e+00       1.3242e-01       -6.0424e-02        1.000          67.3
  50      5.8653e+00       1.4061e-01       -7.6177e-02        1.000          71.2
  51      3.9894e+00       1.5452e-01       -9.9907e-02        0.999          76.0
  52      2.6693e+00       1.7723e-01       -1.3259e-01        0.999          82.2
  53      1.7553e+00       2.1715e-01       -1.7723e-01        0.999          92.2
  54      1.1334e+00       2.9650e-01       -2.2886e-01        0.999         104.5
  55      7.1810e-01       4.5793e-01       -2.3750e-01        0.995         121.8
  56      4.4623e-01       5.9462e-01       -9.4115e-02        0.996         152.7
  57      2.7192e-01       5.3379e-01        8.4881e-02        0.992         188.1

