File.......:  geis_10ma_kit1_II_1mol_5cm2_200ma - SEP,15.2021

System.....:  
Potential..:  -0.368V
Current....:  -32.263uA
Temperature:  -2.8 +-0.1 C
Time.......:  12:47:45 - 12:51:41
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.3652e-02       -1.4107e-02        0.999           0.0
   2      1.3787e+03       4.1867e-02       -1.2586e-02        0.999           2.4
   3      1.8344e+03       4.0067e-02       -1.0672e-02        1.000           3.4
   4      2.4408e+03       3.7741e-02       -9.8344e-03        0.999           4.4
   5      3.2477e+03       3.5859e-02       -8.8073e-03        0.998           5.4
   6      4.3213e+03       3.3914e-02       -7.4674e-03        0.998           6.5
   7      5.7497e+03       3.2629e-02       -6.1299e-03        0.999           7.6
   8      7.6503e+03       3.1684e-02       -2.8215e-03        0.996           8.6
   9      1.0179e+04       3.2590e-02       -1.2312e-03        0.994           9.7
  10      1.3544e+04       3.2907e-02       -3.2772e-04        0.998          10.8
  11      1.8021e+04       3.3183e-02       -1.5791e-04        0.966          11.9
  12      2.3979e+04       3.2614e-02       -2.6353e-05        0.984          12.9
  13      3.1905e+04       3.3205e-02       -1.8890e-03        0.981          14.0
  14      4.2452e+04       3.2421e-02        3.6810e-03        0.983          15.3
  15      5.6484e+04       3.5980e-02        1.3064e-03        0.973          16.7
  16      7.5156e+04       3.2554e-02        2.7097e-02        0.992          17.9
  17      1.0000e+05       2.8101e-02        7.7869e-03        0.970          19.2
  18      7.5156e+04       2.9169e-02       -7.0679e-04        0.825          20.3
  19      5.6484e+04       3.2297e-02        2.8628e-03        0.988          21.7
  20      4.2452e+04       3.3158e-02        2.0191e-03        0.986          23.0
  21      3.1905e+04       3.3963e-02        2.8878e-04        0.986          24.3
  22      2.3979e+04       3.3899e-02        4.5327e-04        0.986          25.5
  23      1.8021e+04       3.3182e-02       -2.3011e-04        0.976          26.6
  24      1.3544e+04       3.3006e-02       -3.9683e-04        0.997          27.6
  25      1.0179e+04       3.2232e-02       -1.2451e-03        0.993          28.6
  26      7.6503e+03       3.1573e-02       -2.8435e-03        0.991          29.6
  27      5.7497e+03       3.1973e-02       -5.0090e-03        0.999          30.7
  28      4.3213e+03       3.4061e-02       -7.7061e-03        0.998          31.7
  29      3.2477e+03       3.5908e-02       -8.9531e-03        0.997          32.8
  30      2.4408e+03       3.7723e-02       -9.8242e-03        0.999          33.8
  31      1.8344e+03       3.9933e-02       -1.1016e-02        0.999          34.8
  32      1.3787e+03       4.1682e-02       -1.2415e-02        0.999          35.8
  33      1.0362e+03       4.3506e-02       -1.4062e-02        1.000          37.1
  34      7.7875e+02       4.5698e-02       -1.5938e-02        0.999          38.5
  35      5.8528e+02       4.8133e-02       -1.8268e-02        0.999          39.6
  36      4.3987e+02       5.0998e-02       -2.0873e-02        0.999          42.0
  37      3.3059e+02       5.4169e-02       -2.3840e-02        0.998          44.8
  38      2.4846e+02       5.7925e-02       -2.8186e-02        0.999          46.3
  39      1.8673e+02       6.2277e-02       -3.1550e-02        0.999          49.4
  40      1.4034e+02       6.7267e-02       -3.6032e-02        0.999          52.3
  41      1.0548e+02       7.3250e-02       -4.1642e-02        1.000          54.3
  42      7.9271e+01       8.0460e-02       -4.7964e-02        1.000          56.3
  43      5.9520e+01       8.9217e-02       -5.4631e-02        1.000          58.1
  44      4.4261e+01       1.0010e-01       -6.2206e-02        0.999          60.0
  45      3.2576e+01       1.1393e-01       -6.9805e-02        1.000          62.0
  46      2.3713e+01       1.3066e-01       -7.6429e-02        1.000          64.1
  47      1.7058e+01       1.4964e-01       -8.0654e-02        1.000          66.6
  48      1.2117e+01       1.6821e-01       -8.2504e-02        0.999          69.4
  49      8.4915e+00       1.8440e-01       -8.5102e-02        1.000          72.6
  50      5.8653e+00       1.9809e-01       -9.1310e-02        1.000          76.5
  51      3.9894e+00       2.1412e-01       -1.0559e-01        1.000          81.2
  52      2.6693e+00       2.3789e-01       -1.2940e-01        1.000          87.4
  53      1.7553e+00       2.7644e-01       -1.6390e-01        1.000          97.3
  54      1.1334e+00       3.5122e-01       -1.9942e-01        1.000         109.6
  55      7.1810e-01       4.6599e-01       -1.9379e-01        0.999         130.5
  56      4.4623e-01       5.6049e-01       -9.4374e-02        0.997         155.7
  57      2.7192e-01       5.4127e-01        2.1411e-02        0.995         191.2

