File.......:  geis_20ma_kit1_II_1mol_5cm2_500ma - SEP,15.2021

System.....:  
Potential..:  -0.280V
Current....:  -31.17uA
Temperature:  -2.8 +-0.0 C
Time.......:  12:33:44 - 12:38:14
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   58
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       4.4879e-02       -1.3499e-02        1.000           0.0
   2      1.3787e+03       4.3024e-02       -1.2028e-02        1.000           2.2
   3      1.8344e+03       4.1288e-02       -1.0874e-02        1.000           3.2
   4      2.4408e+03       3.8906e-02       -9.4654e-03        0.998           4.3
   5      3.2477e+03       3.7185e-02       -8.6377e-03        0.999           5.3
   6      4.3213e+03       3.5983e-02       -8.4809e-03        0.999           6.3
   7      5.7497e+03       3.2899e-02       -6.2781e-03        0.999           7.4
   8      7.6503e+03       3.1368e-02       -3.5801e-03        0.990           8.4
   9      1.0179e+04       3.1291e-02       -1.0252e-03        0.998           9.5
  10      1.3544e+04       3.3006e-02        5.4722e-04        0.998          10.6
  11      1.8021e+04       3.3728e-02        9.3281e-04        0.994          11.6
  12      2.3979e+04       3.3611e-02        4.1267e-04        0.992          12.7
  13      3.1905e+04       3.3603e-02        1.6398e-03        0.992          13.8
  14      4.2452e+04       3.4697e-02        2.8277e-03        0.993          14.9
  15      5.6484e+04       3.4384e-02        3.7763e-03        0.990          15.9
  16      7.5156e+04       3.2566e-02        5.9510e-03        0.988          17.1
  17      1.0000e+05       3.3343e-02        7.7546e-03        0.977          18.2
  18      7.5156e+04       3.2948e-02        4.1455e-03        0.994          19.5
  19      5.6484e+04       3.2159e-02        2.0378e-03        0.985          20.6
  20      4.2452e+04       3.3453e-02        3.2853e-03        0.986          21.6
  21      3.1905e+04       3.3909e-02        2.0921e-03        0.995          22.6
  22      2.3979e+04       3.4602e-02        7.6105e-04        0.992          23.6
  23      1.8021e+04       3.3529e-02        9.4770e-04        0.987          25.1
  24      1.3544e+04       3.2731e-02        4.1607e-04        0.997          26.7
  25      1.0179e+04       3.1681e-02       -1.0315e-03        0.995          27.8
  26      7.6503e+03       3.1175e-02       -3.5562e-03        0.997          28.8
  27      5.7497e+03       3.3251e-02       -7.1754e-03        0.999          29.8
  28      4.3213e+03       3.5015e-02       -7.6840e-03        0.998          30.8
  29      3.2477e+03       3.7497e-02       -9.0540e-03        0.999          31.8
  30      2.4408e+03       3.8434e-02       -9.3167e-03        0.998          32.8
  31      1.8344e+03       4.0776e-02       -1.0717e-02        1.000          33.8
  32      1.3787e+03       4.2428e-02       -1.1854e-02        0.999          34.8
  33      1.0362e+03       4.4244e-02       -1.3283e-02        1.000          35.8
  34      7.7875e+02       4.6254e-02       -1.5059e-02        0.999          36.8
  35      5.8528e+02       4.8531e-02       -1.7065e-02        1.000          37.8
  36      4.3987e+02       5.1242e-02       -1.9468e-02        1.000          39.6
  37      3.3059e+02       5.4349e-02       -2.2173e-02        0.999          41.6
  38      2.4846e+02       5.7887e-02       -2.5194e-02        1.000          43.3
  39      1.8673e+02       6.2228e-02       -2.8953e-02        1.000          44.8
  40      1.4034e+02       6.7141e-02       -3.2844e-02        1.000          46.4
  41      1.0548e+02       7.3017e-02       -3.7372e-02        1.000          48.0
  42      7.9271e+01       8.0051e-02       -4.2104e-02        1.000          49.7
  43      5.9520e+01       8.8552e-02       -4.6817e-02        0.999          51.8
  44      4.4261e+01       9.8623e-02       -5.1470e-02        0.999          54.1
  45      3.2576e+01       1.1091e-01       -5.5212e-02        0.999          56.1
  46      2.3713e+01       1.2411e-01       -5.7369e-02        1.000          58.3
  47      1.7058e+01       1.3725e-01       -5.7843e-02        1.000          60.6
  48      1.2117e+01       1.4923e-01       -5.8312e-02        1.000          63.3
  49      8.4915e+00       1.6064e-01       -6.0748e-02        1.000          66.7
  50      5.8653e+00       1.7376e-01       -6.6061e-02        1.000          70.5
  51      3.9894e+00       1.9219e-01       -7.3660e-02        1.000          75.3
  52      2.6693e+00       2.1871e-01       -7.8773e-02        1.000          81.4
  53      1.7553e+00       2.5195e-01       -7.4660e-02        1.000          91.3
  54      1.1334e+00       2.8240e-01       -5.2664e-02        0.999         103.6
  55      7.1810e-01       2.9384e-01       -2.5475e-02        0.994         120.8
  56      4.4623e-01       2.8639e-01       -3.1130e-04        0.997         145.9
  57      2.7192e-01       2.7507e-01        6.9261e-03        0.997         181.4
  58      1.6257e-01       2.6847e-01        5.9564e-03        0.997         235.1

