File.......:  geis_20ma_kit2-II_1mol_5cm2_500ma - SEP,16.2021

System.....:  
Potential..:  -0.309V
Current....:  -30.279uA
Temperature:  -2.9 +-0.0 C
Time.......:  11:42:21 - 11:44:37
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       3.6993e-02       -9.9141e-03        1.000           0.0
   2      1.3787e+03       3.5638e-02       -8.9835e-03        1.000           2.2
   3      1.8344e+03       3.4376e-02       -8.1993e-03        1.000           3.2
   4      2.4408e+03       3.2459e-02       -7.1911e-03        1.000           4.3
   5      3.2477e+03       3.1226e-02       -6.6340e-03        0.999           5.3
   6      4.3213e+03       2.9681e-02       -6.1164e-03        0.998           6.3
   7      5.7497e+03       2.7817e-02       -5.4234e-03        0.998           7.4
   8      7.6503e+03       2.6349e-02       -3.7468e-03        0.994           8.4
   9      1.0179e+04       2.6190e-02       -9.7745e-04        0.996           9.5
  10      1.3544e+04       2.7248e-02        6.9700e-04        0.999          10.5
  11      1.8021e+04       2.8128e-02        1.2158e-03        0.990          11.6
  12      2.3979e+04       2.9358e-02        1.0245e-03        0.989          12.7
  13      3.1905e+04       2.8397e-02        2.7960e-03        0.994          13.7
  14      4.2452e+04       2.9003e-02        2.9855e-03        0.984          14.9
  15      5.6484e+04       2.9268e-02        3.0261e-03        0.988          15.8
  16      7.5156e+04       2.8462e-02        5.7137e-03        0.977          16.9
  17      1.0000e+05       2.9007e-02        7.8606e-03        0.945          18.2
  18      7.5156e+04       3.0070e-02        4.9889e-03        0.992          19.3
  19      5.6484e+04       2.9166e-02        3.8589e-03        0.993          20.3
  20      4.2452e+04       2.9219e-02        2.6176e-03        0.995          21.3
  21      3.1905e+04       2.9106e-02        2.4920e-03        0.984          22.3
  22      2.3979e+04       2.8960e-02        1.5681e-03        0.993          23.3
  23      1.8021e+04       2.8384e-02        1.1603e-03        0.993          24.3
  24      1.3544e+04       2.7583e-02        5.4145e-04        0.999          25.4
  25      1.0179e+04       2.6474e-02       -7.5427e-04        0.996          26.5
  26      7.6503e+03       2.6614e-02       -3.2626e-03        0.999          27.5
  27      5.7497e+03       2.8257e-02       -5.3406e-03        0.999          28.5
  28      4.3213e+03       3.0763e-02       -6.8665e-03        0.998          29.5
  29      3.2477e+03       3.1806e-02       -6.9859e-03        0.998          30.5
  30      2.4408e+03       3.2983e-02       -7.4496e-03        0.998          31.5
  31      1.8344e+03       3.4986e-02       -8.5413e-03        1.000          32.5
  32      1.3787e+03       3.6293e-02       -9.3746e-03        1.000          33.5
  33      1.0362e+03       3.7775e-02       -1.0432e-02        1.000          34.5
  34      7.7875e+02       3.9414e-02       -1.1705e-02        1.000          35.5
  35      5.8528e+02       4.1223e-02       -1.3197e-02        1.000          36.5
  36      4.3987e+02       4.3466e-02       -1.4952e-02        1.000          38.4
  37      3.3059e+02       4.5732e-02       -1.6918e-02        0.999          40.4
  38      2.4846e+02       4.8418e-02       -1.9419e-02        0.999          42.7
  39      1.8673e+02       5.1553e-02       -2.2162e-02        1.000          45.6
  40      1.4034e+02       5.4936e-02       -2.5496e-02        1.000          47.9
  41      1.0548e+02       5.8956e-02       -2.9323e-02        1.000          49.5
  42      7.9271e+01       6.4084e-02       -3.3947e-02        1.000          51.2
  43      5.9520e+01       7.0242e-02       -3.9074e-02        0.999          52.9
  44      4.4261e+01       7.8171e-02       -4.4568e-02        0.999          54.9
  45      3.2576e+01       8.8489e-02       -5.0047e-02        1.000          57.3
  46      2.3713e+01       1.0025e-01       -5.4536e-02        0.999          59.8
  47      1.7058e+01       1.1290e-01       -5.7661e-02        0.999          62.1
  48      1.2117e+01       1.2518e-01       -6.1337e-02        1.000          64.8
  49      8.4915e+00       1.3874e-01       -6.6887e-02        1.000          68.1
  50      5.8653e+00       1.5546e-01       -7.5905e-02        0.999          72.0
  51      3.9894e+00       1.8146e-01       -8.4873e-02        0.999          76.8
  52      2.6693e+00       2.1798e-01       -8.5783e-02        1.000          82.9
  53      1.7553e+00       2.5856e-01       -6.5577e-02        0.999          92.9
  54      1.1334e+00       2.7690e-01       -2.6389e-02        0.998         105.1
  55      7.1810e-01       2.6779e-01        4.7845e-03        0.997         122.3

