File.......:  geis_20ma_kit3 i_1mol_5cm2_500ma - SEP,16.2021

System.....:  
Potential..:  -0.268V
Current....:  -30.499uA
Temperature:  -3.0 +-0.0 C
Time.......:  14:37:10 - 14:39:23
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   55
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       3.9410e-02       -1.0569e-02        1.000           0.0
   2      1.3787e+03       3.8074e-02       -9.4576e-03        0.999           2.2
   3      1.8344e+03       3.6750e-02       -8.5848e-03        1.000           3.2
   4      2.4408e+03       3.4774e-02       -7.4708e-03        0.999           4.3
   5      3.2477e+03       3.3480e-02       -6.8395e-03        0.999           5.3
   6      4.3213e+03       3.1784e-02       -6.3322e-03        0.999           6.3
   7      5.7497e+03       2.9987e-02       -5.2517e-03        0.998           7.4
   8      7.6503e+03       2.8319e-02       -3.8381e-03        0.997           8.4
   9      1.0179e+04       2.7702e-02       -7.9367e-04        0.998           9.5
  10      1.3544e+04       2.9372e-02        1.0944e-03        0.999          10.5
  11      1.8021e+04       3.0351e-02        1.8038e-03        0.991          11.5
  12      2.3979e+04       3.0847e-02        2.2477e-03        0.997          12.5
  13      3.1905e+04       2.9278e-02        2.4594e-03        0.992          13.6
  14      4.2452e+04       3.2061e-02        1.0956e-03        0.995          14.8
  15      5.6484e+04       3.1404e-02        4.3514e-03        0.990          15.7
  16      7.5156e+04       3.1611e-02        6.6446e-03        0.993          16.9
  17      1.0000e+05       3.2763e-02        8.5102e-03        0.983          18.1
  18      7.5156e+04       3.1413e-02        5.8309e-03        0.989          19.4
  19      5.6484e+04       3.1982e-02        4.4591e-03        0.975          20.5
  20      4.2452e+04       2.8954e-02        4.5682e-03        0.988          21.5
  21      3.1905e+04       3.0614e-02        2.7324e-03        0.993          22.5
  22      2.3979e+04       3.2006e-02        2.5282e-03        0.995          23.8
  23      1.8021e+04       3.0250e-02        1.7822e-03        0.964          25.0
  24      1.3544e+04       2.9208e-02        1.1691e-03        0.999          26.0
  25      1.0179e+04       2.7967e-02       -4.8789e-04        0.997          27.0
  26      7.6503e+03       2.8225e-02       -3.0242e-03        0.999          28.0
  27      5.7497e+03       2.9880e-02       -5.2241e-03        0.999          29.0
  28      4.3213e+03       3.2243e-02       -6.7878e-03        0.999          30.0
  29      3.2477e+03       3.3265e-02       -6.7719e-03        0.999          31.0
  30      2.4408e+03       3.4526e-02       -7.3945e-03        1.000          32.0
  31      1.8344e+03       3.6482e-02       -8.4747e-03        1.000          33.0
  32      1.3787e+03       3.7725e-02       -9.3657e-03        1.000          34.0
  33      1.0362e+03       3.9154e-02       -1.0454e-02        1.000          35.0
  34      7.7875e+02       4.0713e-02       -1.1810e-02        1.000          36.0
  35      5.8528e+02       4.2469e-02       -1.3412e-02        1.000          37.0
  36      4.3987e+02       4.4517e-02       -1.5287e-02        1.000          38.8
  37      3.3059e+02       4.6785e-02       -1.7539e-02        0.999          40.9
  38      2.4846e+02       4.9365e-02       -2.0292e-02        1.000          42.4
  39      1.8673e+02       5.2464e-02       -2.3294e-02        1.000          44.0
  40      1.4034e+02       5.6109e-02       -2.7040e-02        1.000          45.6
  41      1.0548e+02       6.0467e-02       -3.1302e-02        1.000          47.2
  42      7.9271e+01       6.5950e-02       -3.6233e-02        1.000          48.8
  43      5.9520e+01       7.3044e-02       -4.1377e-02        1.000          50.7
  44      4.4261e+01       8.1871e-02       -4.6899e-02        0.999          52.9
  45      3.2576e+01       9.2733e-02       -5.1545e-02        0.999          55.3
  46      2.3713e+01       1.0495e-01       -5.4989e-02        0.999          57.5
  47      1.7058e+01       1.1716e-01       -5.7270e-02        1.000          59.9
  48      1.2117e+01       1.2875e-01       -5.9990e-02        1.000          62.6
  49      8.4915e+00       1.4138e-01       -6.5526e-02        1.000          65.8
  50      5.8653e+00       1.5757e-01       -7.3957e-02        1.000          69.8
  51      3.9894e+00       1.8232e-01       -8.2581e-02        1.000          74.5
  52      2.6693e+00       2.1744e-01       -8.3375e-02        1.000          80.6
  53      1.7553e+00       2.5577e-01       -6.4742e-02        0.999          90.6
  54      1.1334e+00       2.7578e-01       -2.6115e-02        0.999         102.8
  55      7.1810e-01       2.6504e-01        7.6213e-03        0.997         120.0

