File.......:  geis_10ma_kit3 i_1mol_5cm2_200ma - SEP,16.2021

System.....:  
Potential..:  -0.350V
Current....:  -31.22uA
Temperature:  -2.9 +-0.0 C
Time.......:  14:40:21 - 14:43:56
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       3.9168e-02       -1.0578e-02        0.999           0.0
   2      1.3787e+03       3.7709e-02       -9.4933e-03        0.999           2.4
   3      1.8344e+03       3.6454e-02       -8.5492e-03        0.999           3.4
   4      2.4408e+03       3.4592e-02       -7.4392e-03        0.998           4.5
   5      3.2477e+03       3.3316e-02       -6.7117e-03        0.997           5.5
   6      4.3213e+03       3.1197e-02       -5.4415e-03        0.997           6.5
   7      5.7497e+03       2.9508e-02       -4.2419e-03        0.996           7.6
   8      7.6503e+03       2.9301e-02       -1.8788e-03        0.977           8.6
   9      1.0179e+04       2.9544e-02       -7.2326e-05        0.997           9.7
  10      1.3544e+04       3.0838e-02        7.9011e-04        0.997          10.9
  11      1.8021e+04       3.1180e-02        1.2454e-03        0.986          11.9
  12      2.3979e+04       3.1453e-02        8.3538e-04        0.987          13.0
  13      3.1905e+04       3.0866e-02        3.0945e-03        0.982          14.3
  14      4.2452e+04       3.1163e-02        2.2384e-03        0.978          15.6
  15      5.6484e+04       3.2481e-02        3.8393e-03        0.980          16.8
  16      7.5156e+04       2.9987e-02        5.5544e-03        0.984          18.1
  17      1.0000e+05       3.1963e-02        7.6523e-03        0.952          19.5
  18      7.5156e+04       3.1104e-02        5.7750e-03        0.987          20.6
  19      5.6484e+04       3.1206e-02        5.1152e-03        0.962          21.8
  20      4.2452e+04       3.2248e-02        2.8708e-03        0.968          23.0
  21      3.1905e+04       3.1432e-02        3.3106e-03        0.972          24.2
  22      2.3979e+04       3.3235e-02        1.9866e-03        0.985          25.4
  23      1.8021e+04       3.1190e-02        1.1803e-03        0.958          26.5
  24      1.3544e+04       3.0542e-02        8.3938e-04        0.996          27.5
  25      1.0179e+04       2.9539e-02       -2.3040e-04        0.995          28.5
  26      7.6503e+03       2.9138e-02       -1.9079e-03        0.982          29.6
  27      5.7497e+03       3.0339e-02       -4.6394e-03        0.998          30.7
  28      4.3213e+03       3.0316e-02       -6.4696e-03        0.997          31.7
  29      3.2477e+03       3.3189e-02       -6.7799e-03        1.000          32.7
  30      2.4408e+03       3.4656e-02       -7.4809e-03        0.999          33.7
  31      1.8344e+03       3.6546e-02       -8.8328e-03        1.000          34.7
  32      1.3787e+03       3.7891e-02       -9.5364e-03        0.999          35.7
  33      1.0362e+03       3.9329e-02       -1.0651e-02        0.999          36.7
  34      7.7875e+02       4.0933e-02       -1.2055e-02        1.000          37.7
  35      5.8528e+02       4.2558e-02       -1.3879e-02        0.999          38.8
  36      4.3987e+02       4.4687e-02       -1.5758e-02        0.999          40.6
  37      3.3059e+02       4.6878e-02       -1.8016e-02        0.998          42.6
  38      2.4846e+02       4.9936e-02       -2.0206e-02        0.999          44.3
  39      1.8673e+02       5.2690e-02       -2.4114e-02        0.999          45.8
  40      1.4034e+02       5.6183e-02       -2.8000e-02        0.999          47.4
  41      1.0548e+02       6.0465e-02       -3.2839e-02        0.999          49.0
  42      7.9271e+01       6.5710e-02       -3.8375e-02        0.999          50.8
  43      5.9520e+01       7.2327e-02       -4.4813e-02        1.000          53.6
  44      4.4261e+01       8.1248e-02       -5.1843e-02        0.999          56.5
  45      3.2576e+01       9.2484e-02       -5.9175e-02        0.998          58.6
  46      2.3713e+01       1.0609e-01       -6.5637e-02        0.999          60.8
  47      1.7058e+01       1.2130e-01       -7.0518e-02        0.999          63.3
  48      1.2117e+01       1.3573e-01       -7.5085e-02        0.999          66.0
  49      8.4915e+00       1.4877e-01       -8.2569e-02        1.000          69.2
  50      5.8653e+00       1.6278e-01       -9.5546e-02        1.000          73.1
  51      3.9894e+00       1.8153e-01       -1.1722e-01        1.000          77.9
  52      2.6693e+00       2.1296e-01       -1.4834e-01        0.999          84.1
  53      1.7553e+00       2.6763e-01       -1.8492e-01        0.999          96.2
  54      1.1334e+00       3.6253e-01       -2.0545e-01        1.000         108.5
  55      7.1810e-01       4.7906e-01       -1.5430e-01        0.998         125.7
  56      4.4623e-01       5.3092e-01       -3.9001e-02        0.997         150.9
  57      2.7192e-01       4.6897e-01        4.2647e-02        0.994         186.5

