File.......:  geis_20ma_kit2-II_1mol_5cm2_500ma_v2 - SEP,16.2021

System.....:  
Potential..:  -0.273V
Current....:  -32.006uA
Temperature:  -2.8 +-0.0 C
Time.......:  12:08:04 - 12:11:30
Comment....:  
              
              
              
(area/cm^2):  
               
Impedance samples

Lines:   57
Columns: 5

Number   Frequency/Hz   impedance R/Ohm   impedance I/Ohm   Significance   Time/s 
   1      1.0362e+03       3.8148e-02       -1.1611e-02        1.000           0.0
   2      1.3787e+03       3.6594e-02       -1.0349e-02        1.000           2.3
   3      1.8344e+03       3.5145e-02       -9.3198e-03        1.000           3.3
   4      2.4408e+03       3.3131e-02       -8.0781e-03        1.000           4.4
   5      3.2477e+03       3.1742e-02       -7.2571e-03        0.999           5.4
   6      4.3213e+03       3.0007e-02       -6.5856e-03        0.999           6.4
   7      5.7497e+03       2.8467e-02       -5.5833e-03        0.998           7.4
   8      7.6503e+03       2.6669e-02       -4.0706e-03        0.995           8.4
   9      1.0179e+04       2.5995e-02       -2.1392e-03        0.997           9.4
  10      1.3544e+04       2.7643e-02        3.7946e-04        0.999          10.5
  11      1.8021e+04       2.8428e-02        9.2220e-04        0.986          11.6
  12      2.3979e+04       2.9425e-02        7.6074e-04        0.988          12.8
  13      3.1905e+04       2.8378e-02        1.9909e-03        0.987          14.0
  14      4.2452e+04       2.9469e-02        4.1784e-03        0.986          15.1
  15      5.6484e+04       2.9218e-02        3.8100e-03        0.994          16.2
  16      7.5156e+04       2.9142e-02        4.0381e-03        0.973          17.2
  17      1.0000e+05       2.6642e-02        1.0310e-02        0.979          18.4
  18      7.5156e+04       2.7950e-02        5.9938e-03        0.954          19.7
  19      5.6484e+04       2.8557e-02        2.6783e-03        0.988          20.7
  20      4.2452e+04       2.8990e-02        2.6328e-03        0.986          21.7
  21      3.1905e+04       2.8831e-02        1.7775e-03        0.982          22.8
  22      2.3979e+04       2.9872e-02        1.0702e-03        0.987          24.2
  23      1.8021e+04       2.8478e-02        9.6506e-04        0.981          25.6
  24      1.3544e+04       2.7582e-02        4.4370e-04        0.999          26.6
  25      1.0179e+04       2.6598e-02       -1.2658e-03        0.997          27.6
  26      7.6503e+03       2.6689e-02       -3.4326e-03        0.999          28.6
  27      5.7497e+03       2.8620e-02       -5.3848e-03        0.997          29.6
  28      4.3213e+03       3.0200e-02       -6.5576e-03        0.998          30.6
  29      3.2477e+03       3.1740e-02       -7.3913e-03        0.999          31.6
  30      2.4408e+03       3.3062e-02       -8.0362e-03        0.999          32.6
  31      1.8344e+03       3.5084e-02       -9.2823e-03        1.000          33.6
  32      1.3787e+03       3.6480e-02       -1.0329e-02        1.000          34.6
  33      1.0362e+03       3.8050e-02       -1.1591e-02        1.000          35.6
  34      7.7875e+02       3.9790e-02       -1.3115e-02        0.999          36.6
  35      5.8528e+02       4.1776e-02       -1.4935e-02        0.999          37.6
  36      4.3987e+02       4.4067e-02       -1.6999e-02        1.000          39.4
  37      3.3059e+02       4.6551e-02       -1.9608e-02        0.999          41.5
  38      2.4846e+02       4.9719e-02       -2.2508e-02        0.999          43.1
  39      1.8673e+02       5.3036e-02       -2.6083e-02        1.000          44.7
  40      1.4034e+02       5.7069e-02       -3.0156e-02        1.000          46.2
  41      1.0548e+02       6.1880e-02       -3.4993e-02        1.000          47.9
  42      7.9271e+01       6.7987e-02       -4.0535e-02        0.999          49.5
  43      5.9520e+01       7.5551e-02       -4.6576e-02        1.000          51.4
  44      4.4261e+01       8.5152e-02       -5.3165e-02        0.999          53.5
  45      3.2576e+01       9.7438e-02       -5.9435e-02        0.999          55.9
  46      2.3713e+01       1.1197e-01       -6.4473e-02        1.000          58.0
  47      1.7058e+01       1.2751e-01       -6.7548e-02        1.000          60.5
  48      1.2117e+01       1.4281e-01       -7.0279e-02        1.000          63.3
  49      8.4915e+00       1.5852e-01       -7.4555e-02        1.000          66.5
  50      5.8653e+00       1.7738e-01       -8.1261e-02        1.000          70.4
  51      3.9894e+00       2.0603e-01       -8.7213e-02        1.000          75.1
  52      2.6693e+00       2.4266e-01       -8.2148e-02        1.000          81.2
  53      1.7553e+00       2.7683e-01       -5.8032e-02        0.999          91.3
  54      1.1334e+00       2.8858e-01       -2.0806e-02        0.998         103.4
  55      7.1810e-01       2.7756e-01        5.4772e-03        0.997         120.6
  56      4.4623e-01       2.5960e-01        1.6501e-02        0.997         145.8
  57      2.7192e-01       2.5294e-01        1.2161e-02        0.997         181.2

