Datum	time	measurement	pressure_sample[bar]	pressure_rounded[bar]	current[mA]	current_rounded[mA]	voltage_th[mV]	voltage_needle_th[mV]	voltage[mV]	voltage_needle[mV]	R_ges / mOhm*cm²	R_bulk / mOhm*cm²	contact_area[cm2]	pressure_sensor	sample_thickness[cm]	cycle	degradation_corr[mOhm]	as_degradation_corr[mOhm*cm2]	main_resistance[mOhm]	main_resistance_mean[mOhm]	main_resistance_error[mOhm]	as_main_resistance[mOhm*cm2]	as_main_resistance_mean[mOhm*cm2]	as_main_resistance_error[mOhm*cm2]	as_flow_resistance[mOhm*cm2]	as_flow_resistance_mean[mOhm*cm2]	as_flow_resistance_error[mOhm*cm2]	vs_main_resistance[mOhm*cm]	vs_main_resistance_mean[mOhm*cm]	vs_main_resistance_error[mOhm*cm]	flow_resistance[mOhm]	flow_resistance_mean[mOhm]	flow_resistance_error[mOhm]	vs_flow_resistance[mOhm*cm]	vs_flow_resistance_mean[mOhm*cm]	vs_flow_resistance_error[mOhm*cm]	bulk_resistance[mOhm]	bulk_resistance_mean[mOhm]	bulk_resistance_error[mOhm]	bulk_resistance_sub[mOhm]	as_bulk_resistance[mOhm*cm2]	as_bulk_resistance_mean[mOhm*cm2]	as_bulk_resistance_error[mOhm*cm2]	vs_bulk_resistance[mOhm*cm]	vs_bulk_resistance_mean[mOhm*cm]	vs_bulk_resistance_error[mOhm*cm]	contact_resistance[mOhm]	contact_resistance_mean[mOhm]	contact_resistance_error[mOhm]	as_contact_resistance[mOhm*cm2]	as_contact_resistance_mean[mOhm*cm2]	as_contact_resistance_error[mOhm*cm2]	vs_main_conductance[S/cm]	vs_main_conductance_mean[S/cm]	vs_main_conductance_error[S/cm]	vs_flow_conductance[S/cm]	vs_flow_conductance_mean[S/cm]	vs_flow_conductance_error[S/cm]	vs_bulk_conductance[S/cm]	vs_bulk_conductance_mean[S/cm]	vs_bulk_conductance_error[S/cm]
24.11.2020	16:41:55	Zyklen5	20.032792999999998	20.0	999.0	1000.0	4.205973999999999	0.00869	4.233987	0.014356	15.893344	0.053889	3.75	3.82701	2	19.0	1.726231583333334	7.163861070833335	4.210184184184184	4.201741703737563	0.0029320806996716276	15.78819069069069	15.756531389015858	0.010995302623768398	9.31482225319069	9.283162951515857	0.010995302623768782	7.894095345345345	7.878265694507929	0.005497651311884199	2.4839526008508503	2.4755101204042287	0.0029320806996716276	4.657411126595345	4.641581475757929	0.005497651311884391	0.008698698698698699	0.012800655497429128	0.005959648194650313	0.0	0.032620120120120125	0.04800245811535924	0.022348680729938668	0.016310060060060062	0.02400122905767962	0.011174340364969334	1.2376269510760758	1.2313547324533998	0.0032986203348037545	4.641101066535284	1.2313547324533998	0.0032986203348037545	0.1266769599621871	0.1269316748243524	8.848114846995699e-05	0.2147115581636485	4.641581475757929	0.005497651311884391	61.31185270425776	64.57640743661707	17.258734085373526
24.11.2020	16:41:58	Zyklen5	20.040848	20.0	1499.0	1500.0	6.294279	0.009547	6.322292	0.015212	15.816275	0.038057	3.75	3.828417	2	19.0	1.726231583333334	7.163861070833335	4.198985323549032	4.201741703737563	0.0029320806996716276	15.746194963308872	15.756531389015858	0.010995302623768398	9.272826525808869	9.283162951515857	0.010995302623768782	7.873097481654436	7.878265694507929	0.005497651311884199	2.4727537402156985	2.4755101204042287	0.0029320806996716276	4.636413262904434	4.641581475757929	0.005497651311884391	0.006368912608405604	0.012800655497429128	0.005959648194650313	0.0	0.023883422281521013	0.04800245811535924	0.022348680729938668	0.011941711140760506	0.02400122905767962	0.011174340364969334	1.2331924138036465	1.2313547324533998	0.0032986203348037545	4.6244715517636745	1.2313547324533998	0.0032986203348037545	0.12701481244582052	0.1269316748243524	8.848114846995699e-05	0.21568396587959893	4.641581475757929	0.005497651311884391	83.74009287385218	64.57640743661707	17.258734085373526
24.11.2020	16:42:01	Zyklen5	20.040951	20.0	1999.0	2000.0	8.389569	0.011128	8.417582000000001	0.016794	15.790861999999999	0.031504000000000004	3.75	3.8285120000000004	2	19.0	1.726231583333334	7.163861070833335	4.196882941470736	4.201741703737563	0.0029320806996716276	15.73831103051526	15.756531389015858	0.010995302623768398	9.264942593015256	9.283162951515857	0.010995302623768782	7.86915551525763	7.878265694507929	0.005497651311884199	2.4706513581374017	2.4755101204042287	0.0029320806996716276	4.632471296507628	4.641581475757929	0.005497651311884391	0.005566783391695848	0.012800655497429128	0.005959648194650313	0.0	0.02087543771885943	0.04800245811535924	0.022348680729938668	0.010437718859429715	0.02400122905767962	0.011174340364969334	1.2325422873728529	1.2313547324533998	0.0032986203348037545	4.622033577648199	1.2313547324533998	0.0032986203348037545	0.12707843911091657	0.1269316748243524	8.848114846995699e-05	0.215867500518328	4.641581475757929	0.005497651311884391	95.80637431104721	64.57640743661707	17.258734085373526
24.11.2020	16:42:04	Zyklen5	24.026363	24.0	499.8	500.0	1.861119	0.012972	1.889132	0.018638	14.174161999999999	0.139844	3.75	4.589694000000001	2	19.0	1.5786566831325302	6.551425234999999	3.7237274909963984	3.7309283955565635	0.003271838513735369	13.963978091236495	13.990981483337114	0.012269394426507525	8.044015529489506	8.071018921590126	0.012269394426507525	6.981989045618247	6.995490741668557	0.0061346972132537625	2.1450708078638683	2.1522717124240334	0.0032718385137353685	4.022007764744753	4.035509460795063	0.0061346972132537625	0.025954381752701077	0.014785469250557003	0.0057607600694587575	0.0	0.09732893157262903	0.05544550968958876	0.02160285026047034	0.04866446578631452	0.02772275484479438	0.01080142513023517	1.0595582130555836	1.0687431215867382	0.0033139487577771663	3.9733432989584387	1.0687431215867382	0.0033139487577771663	0.14322566155092714	0.14294955760154604	0.00012533781990051298	0.248632041132686	4.035509460795063	0.0061346972132537625	20.548874498920757	69.5118073541762	30.42729861360714
24.11.2020	16:42:09	Zyklen5	24.035846	24.0	999.0	1000.0	3.734974	0.023382	3.7629870000000003	0.029048	14.125325	0.10903900000000001	3.75	4.591705999999999	2	19.0	1.5786566831325302	6.551425234999999	3.7387127127127124	3.7309283955565635	0.003271838513735369	14.020172672672672	13.990981483337114	0.012269394426507525	8.100210110925683	8.071018921590126	0.012269394426507525	7.010086336336336	6.995490741668557	0.0061346972132537625	2.1600560295801823	2.1522717124240334	0.0032718385137353685	4.050105055462842	4.035509460795063	0.0061346972132537625	0.023405405405405408	0.014785469250557003	0.0057607600694587575	0.0	0.08777027027027028	0.05544550968958876	0.02160285026047034	0.04388513513513514	0.02772275484479438	0.01080142513023517	1.0683253120873883	1.0687431215867382	0.0033139487577771663	4.006219920327706	1.0687431215867382	0.0033139487577771663	0.14265159543279285	0.14294955760154604	0.00012533781990051298	0.2469071755684918	4.035509460795063	0.0061346972132537625	22.78675904541955	69.5118073541762	30.42729861360714
24.11.2020	16:42:12	Zyklen5	24.030579	24.0	1499.0	1500.0	5.596443	0.009283	5.624455	0.014949	14.070519	0.037397	3.75	4.590717	2	19.0	1.5786566831325302	6.551425234999999	3.733450967311541	3.7309283955565635	0.003271838513735369	14.000441127418279	13.990981483337114	0.012269394426507525	8.08047856567129	8.071018921590126	0.012269394426507525	7.0002205637091395	6.995490741668557	0.0061346972132537625	2.154794284179011	2.1522717124240334	0.0032718385137353685	4.040239282835645	4.035509460795063	0.0061346972132537625	0.0061927951967978645	0.014785469250557003	0.0057607600694587575	0.0	0.02322298198799199	0.05544550968958876	0.02160285026047034	0.011611490993995995	0.02772275484479438	0.01080142513023517	1.0743007444911066	1.0687431215867382	0.0033139487577771663	4.028627791841649	1.0687431215867382	0.0033139487577771663	0.14285264169878378	0.14294955760154604	0.00012533781990051298	0.24751009284235986	4.035509460795063	0.0061346972132537625	86.1215842579626	69.5118073541762	30.42729861360714
24.11.2020	16:42:15	Zyklen5	24.02681	24.0	1999.0	2000.0	7.451917	0.007175	7.479928999999999	0.012841	14.031884	0.024088	3.75	4.589862	2	19.0	1.5786566831325302	6.551425234999999	3.7278224112056026	3.7309283955565635	0.003271838513735369	13.97933404202101	13.990981483337114	0.012269394426507525	8.059371480274022	8.071018921590126	0.012269394426507525	6.989667021010505	6.995490741668557	0.0061346972132537625	2.1491657280730725	2.1522717124240334	0.0032718385137353685	4.029685740137011	4.035509460795063	0.0061346972132537625	0.0035892946473236615	0.014785469250557003	0.0057607600694587575	0.0	0.013459854927463731	0.05544550968958876	0.02160285026047034	0.0067299274637318655	0.02772275484479438	0.01080142513023517	1.0727882167128744	1.0687431215867382	0.0033139487577771663	4.022955812673279	1.0687431215867382	0.0033139487577771663	0.14306833172368041	0.14294955760154604	0.00012533781990051298	0.24815830922984072	4.035509460795063	0.0061346972132537625	148.59001161440187	69.5118073541762	30.42729861360714
24.11.2020	16:42:19	Zyklen5	30.012459999999997	30.0	499.8	500.0	1.618998	0.013434	1.647011	0.0191	12.357525	0.143304	3.75	5.734677	2	19.0	1.4072295929718877	5.840002810833333	3.2392917166866746	3.2388093877301865	0.0031735905959073734	12.14734393757503	12.1455352039882	0.011900964734652809	6.870232963930451	6.868424230343621	0.011900964734652658	6.073671968787515	6.0727676019941	0.0059504823673264045	1.832062123714787	1.8315797947582988	0.0031735905959073734	3.4351164819652253	3.4342121151718104	0.005950482367326329	0.02687875150060024	0.011339505666845317	0.005203100547847318	0.0	0.1007953181272509	0.04252314625066994	0.019511627054427445	0.05039765906362545	0.02126157312533497	0.009755813527213723	0.9025916861070934	0.9101201445457268	0.0029629266793209266	3.3847188229016	0.9101201445457268	0.0029629266793209266	0.16464504588640627	0.16467003893690546	0.00016119015026219304	0.29111094347167565	3.4342121151718104	0.005950482367326329	19.842191454518385	71.58192677906143	18.637893480217983
24.11.2020	16:42:23	Zyklen5	29.996902000000002	30.0	999.0	1000.0	3.244209	0.006055	3.272221	0.011720999999999999	12.283114	0.043997	3.75	5.731096	2	19.0	1.4072295929718877	5.840002810833333	3.2474564564564563	3.2388093877301865	0.0031735905959073734	12.177961711711712	12.1455352039882	0.011900964734652809	6.900850738067133	6.868424230343621	0.011900964734652658	6.088980855855856	6.0727676019941	0.0059504823673264045	1.8402268634845687	1.8315797947582988	0.0031735905959073734	3.4504253690335664	3.4342121151718104	0.005950482367326329	0.00606106106106106	0.011339505666845317	0.005203100547847318	0.0	0.022728978978978975	0.04252314625066994	0.019511627054427445	0.011364489489489487	0.02126157312533497	0.009755813527213723	0.9170829012117538	0.9101201445457268	0.0029629266793209266	3.439060879544077	0.9101201445457268	0.0029629266793209266	0.16423109608536318	0.16467003893690546	0.00016119015026219304	0.2898193390805294	3.4342121151718104	0.005950482367326329	87.99339388934766	71.58192677906143	18.637893480217983
24.11.2020	16:42:26	Zyklen5	30.022546000000002	30.0	1499.0	1500.0	4.8459650000000005	0.007504	4.873978	0.01317	12.193073	0.032947000000000004	3.75	5.734982	2	19.0	1.4072295929718877	5.840002810833333	3.2327985323549036	3.2388093877301865	0.0031735905959073734	12.122994496330888	12.1455352039882	0.011900964734652809	6.84588352268631	6.868424230343621	0.011900964734652658	6.061497248165444	6.0727676019941	0.0059504823673264045	1.825568939383016	1.8315797947582988	0.0031735905959073734	3.422941761343155	3.4342121151718104	0.005950482367326329	0.005006004002668446	0.011339505666845317	0.005203100547847318	0.0	0.018772515010006673	0.04252314625066994	0.019511627054427445	0.009386257505003336	0.02126157312533497	0.009755813527213723	0.9102814676901737	0.9101201445457268	0.0029629266793209266	3.4135555038381513	0.9101201445457268	0.0029629266793209266	0.1649757409858855	0.16467003893690546	0.00016119015026219304	0.2921463669915325	3.4342121151718104	0.005950482367326329	106.53873489694385	71.58192677906143	18.637893480217983
