sample	date	info	current [A]	voltage [V]	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	current density [A/cm^2]	power [W]	power density [W/cm^2]
KIT3-I_5M	16.09.2021	-	0.25	0.259	5	200	1	65	0.05	0.06475	0.012950000000000001
KIT3-I_5M	16.09.2021	-	0.2	0.273	5	200	1	65	0.04	0.05460000000000001	0.010920000000000001
KIT3-I_5M	16.09.2021	-	0.15	0.289	5	200	1	65	0.03	0.04334999999999999	0.008669999999999999
KIT3-I_5M	16.09.2021	-	0.1	0.314	5	200	1	65	0.02	0.031400000000000004	0.00628
KIT3-I_5M	16.09.2021	-	0.05	0.35	5	200	1	65	0.01	0.017499999999999998	0.0034999999999999996
KIT3-I_5M	16.09.2021	-	0.0	0.589	5	200	1	65	0.0	0.0	0.0
