sample	date	info	current [A]	voltage [V]	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	current density [A/cm^2]	power [W]	power density [W/cm^2]
KIT3-I_1M	16.09.2021	-	0.6	0.248	5	200	1	65	0.12	0.1488	0.029759999999999998
KIT3-I_1M	16.09.2021	-	0.5	0.266	5	200	1	65	0.1	0.133	0.026600000000000002
KIT3-I_1M	16.09.2021	-	0.4	0.29	5	200	1	65	0.08	0.11599999999999999	0.0232
KIT3-I_1M	16.09.2021	-	0.3	0.318	5	200	1	65	0.06	0.0954	0.01908
KIT3-I_1M	16.09.2021	-	0.2	0.35200000000000004	5	200	1	65	0.04	0.0704	0.014080000000000002
KIT3-I_1M	16.09.2021	-	0.1	0.397	5	200	1	65	0.02	0.039700000000000006	0.007940000000000001
KIT3-I_1M	16.09.2021	-	0.0	0.648	5	200	1	65	0.0	0.0	0.0
