sample	date	info	current [A]	voltage [V]	area [cm^2]	flow_rate_C [l/min]	flow_rate_A [l/min]	Temperature [Cel.]	current density [A/cm^2]	power [W]	power density [W/cm^2]
KIT1-I_5M	14.09.2021	-	0.4	0.25	5	200	1	65	0.08	0.1	0.02
KIT1-I_5M	14.09.2021	-	0.3	0.278	5	200	1	65	0.06	0.0834	0.01668
KIT1-I_5M	14.09.2021	-	0.2	0.312	5	200	1	65	0.04	0.062400000000000004	0.01248
KIT1-I_5M	14.09.2021	-	0.1	0.358	5	200	1	65	0.02	0.0358	0.00716
KIT1-I_5M	14.09.2021	-	0.0	0.584	5	200	1	65	0.0	0.0	0.0
